player_id,player_name,team,bye_round,price,current_round,vs_team,venue,jersey_number,total_points,avg_points,total_minutes,avg_minutes,points_per_minute,base_ppm,pts_base,pts_attack,pts_create,pts_evade,pts_negative,base_power_pts,base_power_ppm,avg_base_power,stat_tries,stat_try_assists,stat_last_touch,stat_goals,stat_missed_goals,stat_field_goals,stat_missed_fg,stat_tackles,stat_missed_tackles,stat_tackle_breaks,stat_forced_dropouts,stat_offloads,stat_ineff_offloads,stat_line_breaks,stat_lb_assists,stat_forty_twenty,stat_kick_regather,stat_hitups_h8,stat_hitups_hu,pct_h8,stat_held_goal,stat_intercept,stat_kicked_dead,stat_penalties,stat_errors,stat_sinbin,avg_last3,avg_last5,season_avg,surface,avg_penalties,avg_errors,avg_pc_er,pct_tackle_break,pct_missed_tackle,pct_offload,round_price_change,season_price_change,pct_60plus,end_price,start_price,avg_minutes_calc,games_played,std_dev_total,std_dev_round,cv_round,coeff_variation,avg_r1_9,avg_r10_18,avg_r19_27,avg_base,avg_scoring,avg_create,avg_evade,avg_negative,magic_number,avg_last2,avg_mins_last3,avg_mins_last5,break_even,pct_base,weather,positions,scrape_date,scrape_year
131,"Faeamani, Siale",GCT,8,201400,Totals,,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,201400,201400,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,,,CTW,2026-02-27,2026
368,"Hamlin-Uele, Braden",SHA,7,339000,Totals,,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,339000,339000,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,68,,,FRF,2026-02-27,2026
467,"Pauga, FetalagiaJunior",SYD,5,422700,Totals,,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,422700,422700,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,85,,,CTW,2026-02-27,2026
195,"Puaavase, D’Jazirhae‘Mia’",MNL,3,201400,Totals,,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,201400,201400,0,1,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,40,,,FRF,2026-02-27,2026
2052,"Hamlin-Uele, Braden",SHA,13,347900,Totals,,,,534,36,514,34,1.04,0.8,411,37,4,108,-26,489,0.95,32.6,34,0,4,0,0,0,0,236,-15,68,0,8,2,30,0,0,0,140,50,58.3,3,0,0,-12,-14,0,45,47,0,,-0.8,-0.9,-1.7,28.3,0.0,2.5,0,39700,7,347900,308200,0,15,16.09,16.09,0.45,0.45,35,17,42,27,2,0,7,-2,0,51,46,41,24,73.0,,FRF,2026-02-28,2022
2312,"Hamlin-Uele, Braden",SHA,6,305300,Totals,,,,698,37,730,38,0.96,0.79,579,17,4,122,-24,671,0.92,35.32,17,0,4,0,0,0,0,326,-29,72,0,16,4,30,0,0,0,232,50,69.9,0,0,0,-8,-16,0,30,31,0,,-0.4,-0.8,-1.2,21.7,0.0,3.6,0,-69300,5,305300,374600,0,19,12.93,12.93,0.35,0.35,42,36,32,30,1,0,6,-1,0,26,42,40,59,80.0,,FRF,2026-02-28,2023
2283,"Hamlin-Uele, Braden",SHA,5,320300,Totals,,,,373,31,296,25,1.26,0.93,274,17,16,76,-10,330,1.11,27.5,17,0,8,0,0,0,0,156,-11,42,0,12,2,20,8,0,0,104,25,67.5,0,0,0,-2,-8,0,23,31,0,,-0.2,-0.7,-0.9,27.3,0.0,5.2,0,-54800,8,320300,375100,0,12,13.48,13.48,0.43,0.43,24,28,36,23,1,1,6,-1,0,19,25,29,66,72.0,,FRF,2026-02-27,2024
2337,"Hamlin-Uele, Braden",SHA,13,403600,Totals,,,,624,35,503,28,1.24,0.99,498,34,0,112,-20,580,1.15,32.22,34,0,0,0,0,0,0,262,-14,60,0,16,6,30,0,0,0,202,48,67.8,0,0,0,0,-20,0,53,52,0,,0.0,-1.1,-1.1,20.1,0.0,4.7,0,99300,11,403600,304300,0,18,15.39,15.39,0.44,0.44,28,32,41,28,2,0,6,-1,0,45,30,32,54,77.0,,FRF,2026-02-27,2025
24,"Bassingthwaite, Rex",SYD,5,201400,Totals,,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,201400,201400,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,21,,,FLB,2026-03-12,2026
933,"Puaavase, DJazirhaeMia",MNL,3,201400,Totals,,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,201400,201400,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,,,FRF,2026-03-26,2026
7,"Addo-Carr, Josh",PAR,12,504200,Totals,,,,288,48,485,81,0.59,0.3,145,71,6,86,-20,191,0.39,31.83,68,0,0,0,0,0,0,28,-6,46,6,0,0,40,0,0,0,90,33,57.7,3,0,0,-4,-16,0,48,53,0,,-0.7,-2.7,-3.4,29.5,0.0,0.0,0,-87000,33,504200,591200,0,6,19.17,19.17,0.4,0.4,48,0,0,24,12,1,14,-3,0,58,82,81,52,47.0,,CTW,2026-04-23,2026
8,"Afoa, Bunty",WST,1,235600,Totals,,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,235600,235600,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,FRF,2026-04-23,2026
11,"Aitken, Euan",STH,4,542800,Totals,,,,99,50,111,56,0.89,0.8,89,0,0,10,0,99,0.89,49.5,0,0,0,0,0,0,0,56,-3,10,0,0,0,0,0,0,0,30,6,71.4,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,23.8,0.0,0.0,0,0,0,542800,542800,0,2,8.5,8.5,0.17,0.17,50,0,0,45,0,0,5,0,0,50,0,0,81,90.0,,2RF,2026-04-23,2026
19,"Alamoti, Paul",PTH,12,494800,Totals,,,,328,47,565,81,0.58,0.36,206,21,10,109,-18,280,0.5,40.0,17,0,4,4,0,0,0,94,-15,48,6,20,6,30,0,0,0,92,35,56.8,0,5,0,-2,-16,0,43,50,0,,-0.3,-2.3,-2.6,29.6,0.0,9.9,0,-148200,14,494800,643000,0,7,12.81,12.81,0.27,0.27,47,0,0,29,3,1,16,-3,0,36,82,81,92,60.0,,CTW,2026-04-23,2026
20,"Alatini, Sosaia",BUL,2,201400,Totals,,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,201400,201400,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,,,2RF,2026-04-23,2026
21,"Ale, Tom",PTH,12,216800,Totals,,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,216800,216800,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,24,,,FRF,2026-04-23,2026
24,"Anderson, Grant",BRO,12,523400,Totals,,,,43,22,103,52,0.42,0.39,40,3,0,6,-6,46,0.45,23.0,0,0,0,0,0,0,0,5,-4,6,0,0,0,0,0,0,0,28,11,56.0,3,0,0,0,-6,0,0,0,0,,0.0,-3.0,-3.0,12.0,0.0,0.0,0,0,0,523400,523400,0,2,9.5,9.5,0.43,0.43,22,0,0,20,2,0,3,-3,0,22,0,0,131,82.0,,CTW,2026-04-23,2026
25,"Andrews, Javon",WST,1,201400,Totals,,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,201400,201400,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,22,,,5/8,2026-04-23,2026
26,"Arrow, Jai",STH,4,538700,Totals,,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,538700,538700,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,60,,,2RF|FRF,2026-04-23,2026
30,"Arthars, Jesse",BRO,12,434100,Totals,,,,152,51,216,72,0.7,0.38,81,43,0,32,-4,93,0.43,31.0,34,0,0,0,0,0,0,15,-5,12,0,0,0,20,0,0,0,62,9,77.5,9,0,0,0,-4,0,51,0,0,,0.0,-1.3,-1.3,15.0,0.0,0.0,0,8200,67,434100,425900,0,3,22.57,22.57,0.44,0.44,51,0,0,27,14,0,11,-1,0,41,72,0,62,52.0,,CTW,2026-04-23,2026
31,"Arthur, Matt",NEW,12,235600,Totals,,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,235600,235600,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,HOK,2026-04-23,2026
32,"Asomua, Michael",CBR,11,235600,Totals,,,,0,0,0,0,0.0,0.0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,235600,235600,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,26,,,CTW,2026-04-23,2026
40,"Atkinson, Daniel",STG,9,275500,Totals,,,,230,33,570,81,0.4,0.28,157,-2,63,36,-24,183,0.32,26.14,0,36,4,0,0,0,-2,143,-29,16,0,8,2,10,32,0,0,26,17,43.3,0,0,-9,-10,-14,0,24,28,0,,-1.4,-2.0,-3.4,26.7,0.0,10.0,0,39900,0,275500,235600,0,7,15.47,15.47,0.47,0.47,33,0,0,22,0,9,5,-3,0,17,80,80,59,62.0,,HFB,2026-04-23,2026
