player_id,player_name,team,bye_round,price,current_round,vs_team,venue,jersey_number,total_points,avg_points,total_minutes,avg_minutes,points_per_minute,base_ppm,pts_base,pts_attack,pts_create,pts_evade,pts_negative,base_power_pts,base_power_ppm,avg_base_power,stat_tries,stat_try_assists,stat_last_touch,stat_goals,stat_missed_goals,stat_field_goals,stat_missed_fg,stat_tackles,stat_missed_tackles,stat_tackle_breaks,stat_forced_dropouts,stat_offloads,stat_ineff_offloads,stat_line_breaks,stat_lb_assists,stat_forty_twenty,stat_kick_regather,stat_hitups_h8,stat_hitups_hu,pct_h8,stat_held_goal,stat_intercept,stat_kicked_dead,stat_penalties,stat_errors,stat_sinbin,avg_last3,avg_last5,season_avg,surface,avg_penalties,avg_errors,avg_pc_er,pct_tackle_break,pct_missed_tackle,pct_offload,round_price_change,season_price_change,pct_60plus,end_price,start_price,avg_minutes_calc,games_played,std_dev_total,std_dev_round,cv_round,coeff_variation,avg_r1_9,avg_r10_18,avg_r19_27,avg_base,avg_scoring,avg_create,avg_evade,avg_negative,magic_number,avg_last2,avg_mins_last3,avg_mins_last5,break_even,pct_base,weather,positions,scrape_date,scrape_year
1,"Ackers, Corey",STG,03,198800,Totals,,,,0,0,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,198800,198800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,,,2RF,2026-02-27,2025
2,"Addo-Carr, Josh",PAR,08,542600,03,BUL,,21,48,48,80,80,0.6,0.24,19,17,0,14,-2,23,0.29,,17,0,0,0,0,0,0,4,-3,4,0,0,0,10,0,0,0,10,8,38.5,0,0,0,0,-2,0,0,0,48,,0,0,0,15.4,42.9,0,0,0,0,546200,542600,80,1,0,0,0,0,0,0,0,19,17,0,14,-2,11304,0,0,0,74,38,,CTW,2026-02-27,2025
3,"Addo-Carr, Josh",PAR,08,542600,04,MNL,,5,37,43,80,80,0.46,0.34,27,0,0,10,0,37,0.46,,0,0,0,0,0,0,0,6,-1,10,0,0,0,0,0,0,0,14,8,46.7,0,0,0,0,0,0,0,0,43,,0,0,0,33.3,14.3,0,0,0,0,546200,542600,80,2,0,5.5,0.13,0,0,0,0,27,0,0,10,0,12767,43,0,0,82,73,,CTW,2026-02-27,2025
4,"Addo-Carr, Josh",PAR,08,530200,05,STG,,5,67,51,84,81,0.8,0.24,20,17,0,30,0,30,0.36,,17,0,0,0,0,0,0,5,-1,8,0,0,2,20,0,0,0,8,8,33.3,0,0,0,0,0,0,51,0,51,,0,0,0,33.3,16.7,8.3,-12400,-12400,0,546200,542600,81,3,0,12.39,0.24,0,0,0,0,20,17,0,30,0,10396,52,81,0,59,30,,CTW,2026-02-27,2025
5,"Addo-Carr, Josh",PAR,08,516900,06,CBR,,2,43,49,80,81,0.54,0.2,16,17,0,16,-6,22,0.28,,17,0,0,0,0,0,0,2,-3,6,0,0,0,10,0,0,0,8,9,30.8,0,0,0,-2,-4,0,49,0,49,,0,0,0,23.1,60,0,-13300,-25700,0,546200,542600,81,4,0,11.23,0.23,0,0,0,0,16,17,0,16,-6,10549,55,81,0,48,33,,CTW,2026-02-27,2025
6,"Addo-Carr, Josh",PAR,08,551200,07,WST,,2,94,58,80,81,1.18,0.26,21,34,12,31,-4,27,0.34,,34,12,0,0,0,0,0,6,-1,6,0,0,0,20,0,0,0,14,2,77.8,0,5,0,-2,-2,0,68,58,58,,0,0,0,33.3,14.3,0,34300,8600,0,546200,542600,81,5,0,20.7,0.36,0,0,0,0,21,34,12,31,-4,8106,69,81,81,35,21,,CTW,2026-02-27,2025
7,"Addo-Carr, Josh",PAR,08,600500,09,SHA,,5,106,66,80,81,1.33,0.35,28,34,0,46,-2,54,0.68,,34,0,0,0,0,0,0,4,-1,20,0,4,2,20,0,0,0,24,1,92.3,0,0,0,0,-2,0,81,69,66,,0,0,0,76.9,20,15.4,49300,57900,0,546200,542600,81,6,0,26.07,0.4,0,0,0,0,28,34,0,46,-2,7414,100,80,81,-3,26,,CTW,2026-02-27,2025
8,"Addo-Carr, Josh",PAR,08,668100,10,DOL,,5,82,68,80,81,1.03,0.43,34,0,0,50,-2,54,0.68,,0,0,0,0,0,0,0,1,0,20,0,0,0,30,0,0,0,26,7,65.0,0,0,0,0,-2,0,94,78,68,,0,0,0,50,0,0,67600,125500,0,546200,542600,81,7,0,24.79,0.36,0,0,0,0,34,0,0,50,-2,7107,94,80,81,32,40,,CTW,2026-02-27,2025
9,"Addo-Carr, Josh",PAR,08,693700,11,NEW,,5,62,67,80,81,0.78,0.3,24,0,12,26,0,40,0.50,,0,12,0,0,0,0,0,2,-1,16,0,0,0,10,0,0,0,14,9,43.8,0,0,0,0,0,0,83,77,67,,0,0,0,50,33.3,0,25600,151100,0,546200,542600,81,8,0,23.28,0.35,0,0,0,0,24,0,12,26,0,8358,72,80,80,82,39,,CTW,2026-02-27,2025
10,"Addo-Carr, Josh",PAR,08,643700,12,MNL,,5,17,62,80,80,0.21,0.26,21,0,0,2,-6,23,0.29,,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,10,9,35.7,0,0,0,0,-6,0,54,72,62,,0,0,0,7.1,0,0,-50000,101100,0,546200,542600,80,9,0,27.06,0.44,0,0,0,0,21,0,0,2,-6,11920,40,80,80,128,91,,CTW,2026-02-27,2025
