BY RANKnrlscstats.comHOKFRF2RFHFB5/8CTWFLBAverageBRO6497131599BUL51121399169CBR1314148126DOL113112614169GCT97101416118MEL15157121041111MNL1216121315111513NEW76157111169NQC173479116NZL16891316131112PAR13422674PTH109121616141613SHA2151061110109STG33968114STH861015911810SYD7615131316811WST63167111099,BY RANKnrlscstats.com,,HOK,FRF,2RF,HFB,5/8,CTW
BY RANKnrlscstats.com,,,,,,,,
,HOK,FRF,2RF,HFB,5/8,CTW,FLB,Average
BRO,6,4,9,7,13,15,9,9
BUL,5,1,12,13,9,9,16,9
CBR,13,1,4,1,4,8,12,6
DOL,11,3,1,12,6,14,16,9
GCT,9,7,10,14,1,6,11,8
MEL,15,15,7,12,10,4,11,11
MNL,12,16,12,13,15,11,15,13
NEW,7,6,15,7,11,11,6,9
NQC,1,7,3,4,7,9,11,6
NZL,16,8,9,13,16,13,11,12
PAR,1,3,4,2,2,6,7,4
PTH,10,9,12,16,16,14,16,13
SHA,2,15,10,6,11,10,10,9
STG,3,3,9,6,8,1,1,4
STH,8,6,10,15,9,11,8,10
SYD,7,6,15,13,13,16,8,11
WST,6,3,16,7,11,10,9,9
BY PPM CONCEDEDnrlscstats.com,,,,,,,,
,HOK,FRF,2RF,HFB,5/8,CTW,FLB,Average
BRO,0.84,1.08,0.94,0.85,0.66,0.66,0.87,0.84
BUL,0.85,1.11,0.92,0.71,0.73,0.77,0.72,0.83
CBR,0.72,1.11,0.97,0.99,0.83,0.78,0.81,0.89
DOL,0.76,1.09,0.99,0.74,0.8,0.67,0.73,0.83
GCT,0.78,1.06,0.93,0.68,0.9,0.81,0.82,0.85
MEL,0.69,0.99,0.95,0.73,0.71,0.85,0.83,0.82
MNL,0.74,0.98,0.92,0.71,0.62,0.72,0.75,0.78
NEW,0.82,1.07,0.9,0.84,0.69,0.73,0.94,0.86
NQC,0.91,1.06,0.98,0.92,0.77,0.76,0.83,0.89
NZL,0.68,1.05,0.94,0.71,0.59,0.69,0.82,0.78
PAR,0.91,1.09,0.97,0.97,0.88,0.82,0.91,0.94
PTH,0.77,1.04,0.92,0.64,0.59,0.68,0.72,0.77
SHA,0.9,0.99,0.93,0.88,0.7,0.74,0.85,0.86
STG,0.88,1.09,0.94,0.88,0.75,0.9,1.05,0.93
STH,0.8,1.07,0.93,0.66,0.74,0.72,0.9,0.83
SYD,0.82,1.07,0.9,0.71,0.66,0.64,0.89,0.81
WST,0.83,1.09,0.89,0.86,0.7,0.74,0.87,0.85
