,"BRONCOSHunt, Ben$387,900   -19Karapani, Josiah$380,700   -12Coates, Phillip$201,400   -12Verhoeven, Antonio$223,700   -2Coric, Joshua$201,400   10Gale, Luke$201,400   20Bukowski, Cameron$201,400   25Staggs, Kotoni$362,200   25Mariner, Deine$328,200   27Rogers, Josh$259,200   34Tawha, Aublix$219,600   45Hunt, Jaiyden$350,700   57Perham, Hayze$484,500   59Semu, VJ$233,800   59Gosiewski, Jack$268,400   61Mozer, Blake$245,100   62Talty, Ben$324,200   63Anderson, Grant$420,000   63Mam, Ezra$547,700   64Duffy, Tom$282,800   68Jensen, Corey$425,000   69Riki, Preston$343,000   70Riki, Jordan$490,900   70Carrigan, Patrick$564,100   70Walters, Billy$547,100   71Paix, Cory$354,400   77Arthars, Jesse$387,000   79Haas, Payne$732,200   87Shibasaki, Gehamat$307,100   89Reynolds, Adam$344,100   91Willison, Xavier$554,700   92Walsh, Reece$559,500   111Piakura, Brendan$420,300   132",BRONCOS,"Hunt, Ben","$387,900   -19","Karapani, Josiah","$380,700   -12","Coates, Phillip","$201,400   -12","Verhoeven, Antonio","$223,700   -2","Coric, Joshua","$201,400   10","Gale, Luke","$201,400   20","Bukowski, Cameron","$201,400   25","Staggs, Kotoni","$362,200   25","Mariner, Deine","$328,200   27","Rogers, Josh","$259,200   34","Tawha, Aublix","$219,600   45","Hunt, Jaiyden","$350,700   57","Perham, Hayze","$484,500   59","Semu, VJ","$233,800   59","Gosiewski, Jack","$268,400   61","Mozer, Blake","$245,100   62","Talty, Ben","$324,200   63","Anderson, Grant","$420,000   63","Mam, Ezra","$547,700   64","Duffy, Tom","$282,800   68","Jensen, Corey","$425,000   69","Riki, Preston","$343,000   70","Riki, Jordan","$490,900   70","Carrigan, Patrick","$564,100   70","Walters, Billy","$547,100   71","Paix, Cory","$354,400   77","Arthars, Jesse","$387,000   79","Haas, Payne","$732,200   87","Shibasaki, Gehamat","$307,100   89","Reynolds, Adam","$344,100   91","Willison, Xavier","$554,700   92","Walsh, Reece","$559,500   111","Piakura, Brendan","$420,300   132","BULLDOGSOSullivan, Sean$222,000   -8Toy, Cooper$201,400   20Kikau, Viliame$471,000   22ChanKumTong, Gordon$235,600   23Galvin, Lachlan$661,700   28Turpin, Jake$201,400   28Jones, Alekolasimi$202,400   29Underhill, Jack$248,300   37Sua, Jonathan$280,900   46Mann, Kurt$249,400   46Hopoi, Lipoi$215,900   47Hayes, Harry$358,900   53Hayward, Bailey$432,600   53Reardon, Jed$201,400   55Montoya, Marcelo$365,800   56Burton, Matt$548,700   56Preston, Jacob$729,900   65Hughes, Samuel$366,400   66Xerri, Bronson$382,400   67Thompson, Leo$441,700   74Kiraz, Jacob$456,200   83Tuala, Enari$492,200   84Salmon, Jaeman$474,500   95Curran, Joshua$406,400   95King, Max$594,500   98Crichton, Stephen$543,900   101Tracey, Connor$467,200   108Rinakama, Jethro$498,300   126Tupouniua, Sitili$617,000   159",BULLDOGS,"OSullivan, Sean","$222,000   -8","Toy, Cooper","Kikau, Viliame","$471,000   22","ChanKumTong, Gordon","$235,600   23","Galvin, Lachlan","$661,700   28","Turpin, Jake","$201,400   28","Jones, Alekolasimi","$202,400   29","Underhill, Jack","$248,300   37","Sua, Jonathan","$280,900   46","Mann, Kurt","$249,400   46","Hopoi, Lipoi","$215,900   47","Hayes, Harry","$358,900   53","Hayward, Bailey","$432,600   53","Reardon, Jed","$201,400   55","Montoya, Marcelo","$365,800   56","Burton, Matt","$548,700   56","Preston, Jacob","$729,900   65","Hughes, Samuel","$366,400   66","Xerri, Bronson","$382,400   67","Thompson, Leo","$441,700   74","Kiraz, Jacob","$456,200   83","Tuala, Enari","$492,200   84","Salmon, Jaeman","$474,500   95","Curran, Joshua","$406,400   95","King, Max","$594,500   98","Crichton, Stephen","$543,900   101","Tracey, Connor","$467,200   108","Rinakama, Jethro","$498,300   126","Tupouniua, Sitili","$617,000   159","RAIDERSBlack, Coby$201,400   -98Savage, Xavier$356,700   -7Smith, Malachi$201,400   3Papalii, Josh$293,100   10Patuki-Case, Vena$201,400   17Uta, Jordan$201,400   22Weekes, Kaeo$566,700   28Stewart, Chevy$235,600   31Mariota, Ata$537,600   41Strange, Ethan$496,800   42Roddy, Joe$274,500   46Brailey, Jayden$267,300   46Pattie, Owen$588,900   53Starling, Tom$291,100   56Martin, Noah$515,300   63Smithies, Morgan$273,700   69Tamale, Savelio$400,200   71Laurie, Daine$360,500   72Timoko, Matthew$514,600   74Nicholson, Matty$533,700   75Kris, Sebastian$366,200   81Stuart, Jed$342,600   92Sasagi, Simi$778,200   100Tapine, Joseph$662,400   102Hosking, Zac$600,700   106Sanders, Ethan$567,200   107Horsburgh, Corey$564,800   111Young, Hudson$674,100   151",RAIDERS,"Black, Coby","$201,400   -98","Savage, Xavier","$356,700   -7","Smith, Malachi","$201,400   3","Papalii, Josh","$293,100   10","Patuki-Case, Vena","$201,400   17","Uta, Jordan","$201,400   22","Weekes, Kaeo","$566,700   28","Stewart, Chevy","$235,600   31","Mariota, Ata","$537,600   41","Strange, Ethan","$496,800   42","Roddy, Joe","$274,500   46","Brailey, Jayden","$267,300   46","Pattie, Owen","$588,900   53","Starling, Tom","$291,100   56","Martin, Noah","$515,300   63","Smithies, Morgan","$273,700   69","Tamale, Savelio","$400,200   71","Laurie, Daine","$360,500   72","Timoko, Matthew","$514,600   74","Nicholson, Matty","$533,700   75","Kris, Sebastian","$366,200   81","Stuart, Jed","$342,600   92","Sasagi, Simi","$778,200   100","Tapine, Joseph","$662,400   102","Hosking, Zac","$600,700   106","Sanders, Ethan","$567,200   107","Horsburgh, Corey","$564,800   111","Young, Hudson","$674,100   151","DRAGONSFlanagan, Kyle$259,000   5Tuipulotu, Christian$385,400   5Lawrie, Blake$295,500   6Fale, David$235,600   9Muhleisen, Connor$240,000   22Egan, Dylan$584,300   24Webster, Jacob$253,200   24Gutherson, Clint$523,600   24Sele, Hame$287,800   25Cook, Damien$346,200   32Reed, Kade$201,400   37Guler, Emre$341,700   39Atkinson, Daniel$394,500   39Kerr, Josh$279,800   42King-Togia, Lyhkan$412,100   43Halangahu, Jacob$264,400   52PasifikiTonga, Loko$548,200   55Tu, Setu$443,900   66Leilua, Luciano$328,800   74Couchman, Toby$567,600   80Liddle, Jacob$413,300   81Sloan, Tyrell$529,600   95Suli, Moses$433,600   97Feagai, Mathew$435,700   104Buchanan, Hayden$340,100   105Couchman, Ryan$635,000   132Stewart, Hamish$612,900   134SuA, Jaydn$539,000   140Holmes, Valentine$571,100   166",DRAGONS,"Flanagan, Kyle","$259,000   5","Tuipulotu, Christian","$385,400   5","Lawrie, Blake","$295,500   6","Fale, David","$235,600   9","Muhleisen, Connor","$240,000   22","Egan, Dylan","$584,300   24","Webster, Jacob","$253,200   24","Gutherson, Clint","$523,600   24","Sele, Hame","$287,800   25","Cook, Damien","$346,200   32","Reed, Kade","$201,400   37","Guler, Emre","$341,700   39","Atkinson, Daniel","$394,500   39","Kerr, Josh","$279,800   42","King-Togia, Lyhkan","$412,100   43","Halangahu, Jacob","$264,400   52","PasifikiTonga, Loko","$548,200   55","Tu, Setu","$443,900   66","Leilua, Luciano","$328,800   74","Couchman, Toby","$567,600   80","Liddle, Jacob","$413,300   81","Sloan, Tyrell","$529,600   95","Suli, Moses","$433,600   97","Feagai, Mathew","$435,700   104","Buchanan, Hayden","$340,100   105","Couchman, Ryan","$635,000   132","Stewart, Hamish"
BRONCOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hunt, Ben",,"$387,900   -19",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BULLDOGS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"OSullivan, Sean",,"$222,000   -8",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAIDERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Black, Coby",,"$201,400   -98",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DRAGONS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Flanagan, Kyle",,"$259,000   5",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
www.nrlsupercoachstats.com,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SEA EAGLES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Navale, Caleb",,"$360,200   -6",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STORM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Watson, Hayden",,"$201,400   -67",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KNIGHTS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
