timestamp,rmse,mae,holdout_year,n_train,n_val,n_features,target_kind,max_epochs
2026-05-01T09:47:55,2.510679133664682,1.468715786933899,2026,1589,559,89,delta,20
2026-05-01T15:05:24,2.5625869922293214,1.4980800151824951,2026,1589,559,89,delta,20
2026-05-01T16:18:25,2.6166953463916345,1.7674241065979004,2026,1589,559,91,absolute,100,eval
2026-05-01T16:24:01,2.481405342677897,1.6887028217315674,2026,1589,559,91,absolute,20,eval
2026-05-01T16:26:08,2.5461825500154007,1.776241421699524,,2040,108,91,absolute,100,final
2026-05-06T10:30:20,2.069842130381481,1.3001817464828491,2026,1589,562,91,absolute,20,eval
2026-05-06T10:30:32,2.1465012581797356,1.4032458066940308,2026,1589,562,91,absolute,20,eval
2026-05-13T10:38:12,2.3081961094066465,1.4225033521652222,2026,1589,563,91,absolute,20,eval
2026-05-13T10:38:24,2.334869753127271,1.4113255739212036,2026,1589,563,91,absolute,20,eval
2026-05-20T11:04:44,2.2124831118181594,1.4148756265640259,2026,1593,564,91,absolute,20,eval
2026-05-20T11:04:57,2.2183777402831972,1.4173434972763062,2026,1593,564,91,absolute,20,eval
2026-05-27T11:53:29,2.272894620803039,1.4739192724227905,2026,1594,569,91,absolute,20,eval
2026-05-27T11:53:42,2.232152727377731,1.4532550573349,2026,1594,569,91,absolute,20,eval
2026-06-03T12:56:34,2.2424838305584642,1.452829360961914,2026,1594,569,91,absolute,20,eval
2026-06-03T12:56:47,2.217963280692887,1.453615427017212,2026,1594,569,91,absolute,20,eval
2026-06-10T11:53:09,2.267401794359396,1.5155977010726929,2026,1594,569,91,absolute,20,eval
2026-06-10T11:53:21,2.1228351785770023,1.4262453317642212,2026,1594,569,91,absolute,20,eval
2026-06-17T12:31:00,2.1452472096153743,1.439987301826477,2026,1594,573,91,absolute,20,eval
2026-06-17T12:31:12,2.1678676822232887,1.4716286659240723,2026,1594,573,91,absolute,20,eval
2026-06-24T11:01:06,2.194791141383816,1.495620846748352,2026,1594,574,91,absolute,20,eval
2026-06-24T11:01:21,2.172833457614179,1.4649099111557007,2026,1594,574,91,absolute,20,eval
2026-07-01T11:36:58,2.2130291753156666,1.492445468902588,2026,1594,574,91,absolute,20,eval
2026-07-01T11:37:13,2.1971424661664707,1.5011883974075317,2026,1594,574,91,absolute,20,eval
2026-07-08T10:29:24,2.07657387574627,1.420715570449829,2026,1598,579,91,absolute,20,eval
2026-07-08T10:29:38,2.1479675888798737,1.473263144493103,2026,1598,579,91,absolute,20,eval
2026-07-15T10:16:44,2.1285687940330695,1.4528789520263672,2026,1602,582,91,absolute,20,eval
2026-07-15T10:16:58,2.0720559894110955,1.4223077297210693,2026,1602,582,91,absolute,20,eval
2026-07-22T10:38:20,2.197772294013975,1.4482276439666748,2026,1606,583,91,absolute,20,eval
2026-07-22T10:38:33,2.190092566811365,1.4242603778839111,2026,1606,583,91,absolute,20,eval
2026-07-29T10:51:07,2.225852344431275,1.4393320083618164,2026,1606,584,91,absolute,20,eval
2026-07-29T10:51:17,2.2261128289417305,1.4212802648544312,2026,1606,584,91,absolute,20,eval
2026-08-05T10:49:28,2.2876333520927643,1.4931164979934692,2026,1610,587,91,absolute,20,eval
2026-08-05T10:49:42,2.3181875240711296,1.4819624423980713,2026,1610,587,91,absolute,20,eval
2026-08-12T09:24:47,2.2702191306734325,1.462608814239502,2026,1610,587,91,absolute,20,eval
2026-08-12T09:25:02,2.277334851203401,1.4738560914993286,2026,1610,587,91,absolute,20,eval
2026-08-19T08:49:17,2.2322371065132898,1.4620625972747803,2026,1610,587,91,absolute,20,eval
2026-08-19T08:49:32,2.2087069741134875,1.4353594779968262,2026,1610,587,91,absolute,20,eval
2026-08-26T08:56:35,2.094399422662829,1.4084728956222534,2026,1610,591,91,absolute,20,eval
2026-08-26T08:56:50,2.0614526574774876,1.3972870111465454,2026,1610,591,91,absolute,20,eval
2026-09-02T12:46:11,2.1839564368545936,1.477771520614624,2026,1616,595,91,absolute,20,eval
2026-09-02T12:46:25,2.171452762533542,1.430522084236145,2026,1616,595,91,absolute,20,eval
2026-09-09T12:59:02,2.127483151253708,1.4612548351287842,2026,1616,602,91,absolute,20,eval
2026-09-09T12:59:18,2.131365498296597,1.4317156076431274,2026,1616,602,91,absolute,20,eval
2026-09-16T13:26:01,2.134959610818303,1.4158127307891846,2026,1616,602,91,absolute,20,eval
2026-09-16T13:26:17,2.1403146783363995,1.4467889070510864,2026,1616,602,91,absolute,20,eval
2026-09-23T13:36:15,2.18142040647295,1.449776530265808,2026,1616,602,91,absolute,20,eval
2026-09-23T13:36:29,2.1834405562107944,1.4378536939620972,2026,1616,602,91,absolute,20,eval
