round,teams_on_bye,n_bye_teams,n_unavailable,scoring_total,n_trades,trades_remaining
1,WST,1,1,1363.1161346435547,2,44
2,BUL,1,0,1379.2666854858398,1,43
3,MNL,1,0,1369.9067192077637,2,41
4,STH,1,2,1303.3616027832031,1,40
5,SYD,1,1,1403.5660247802734,0,40
6,DOL,1,2,1321.0812683105469,0,40
7,SHA,1,2,1389.976261138916,0,40
8,GCT,1,1,1398.5738792419434,0,40
9,STG,1,1,1380.0963516235352,0,40
10,NZL,1,1,1380.0963516235352,0,40
11,CBR,1,1,1332.7080688476562,2,38
12,"BRO,NEW,PAR,PTH,SHA,SYD,WST",7,12,1022.735221862793,2,36
13,"DOL,GCT,STH",3,5,1235.5777549743652,2,34
14,NZL,1,3,1375.4338302612305,2,32
15,"BUL,MEL,MNL,NEW,NQC,PTH,STG",7,6,1402.9457931518555,2,30
16,"BRO,PAR,STH",3,6,1296.2612037658691,2,28
17,SHA,1,2,1407.1007652282715,2,26
18,"BUL,CBR,GCT,MEL,NQC,NZL,SYD",7,6,1359.4060363769531,2,24
19,"BRO,PTH,STG",3,3,1339.3027687072754,2,22
20,PAR,1,3,1411.7201881408691,1,21
21,DOL,1,1,1408.1369705200195,2,19
22,MNL,1,0,1404.9411849975586,1,18
23,WST,1,3,1362.7554473876953,0,18
24,MEL,1,1,1373.1248512268066,0,18
25,NQC,1,1,1404.9411849975586,0,18
26,CBR,1,0,1404.9411849975586,0,18
27,NEW,1,2,1381.164836883545,0,18
