role,player_name,assigned_position,positions,team,price,avg_points,predicted_points
Starting,"Brailey, Blayke",HOK,HOK,SHA,701400.0,80,77.21916198730469
Starting,"Ford, Jackson",FRF,FRF,NZL,784300.0,90,91.51598358154297
Starting,"Carrigan, Patrick",FRF,2RF|FRF,BRO,665300.0,72,71.84054565429688
Starting,"Finefeuiaki, Kulikefu",2RF,2RF,DOL,642600.0,80,80.96341705322266
Starting,"Lisati, Ativalu",2RF,2RF,MEL,269400.0,83,76.66474914550781
Starting,"Yeo, Isaah",2RF,2RF,PTH,670800.0,74,75.07833099365234
Starting,"Twidle, Apa",HFB,HFB,PAR,201400.0,88,83.47978973388672
Starting,"Gamble, Tyson",5/8,5/8|HFB,NEW,281600.0,66,57.485897064208984
Starting,"Mitchell, Latrell",CTW,CTW,STH,961500.0,112,108.78226470947266
Starting,"Farnworth, Herbie",CTW,CTW,DOL,847900.0,89,91.46491241455078
Starting,"Jenkins, Thomas",CTW,CTW,PTH,809100.0,94,90.20391845703125
Starting,"Sasagi, Simi",CTW,2RF|CTW,CBR,731300.0,87,86.346923828125
Starting,"Dufty, Matthew",FLB,FLB,STH,409000.0,97,83.48204803466797
Bench,"Grant, Harry",HOK,HOK,MEL,524800.0,65,60.2188606262207
Bench,"Hau, Arama",FRF,2RF|FRF,GCT,583400.0,71,68.67963409423828
Bench,"Papalii, Isaiah",FRF,2RF|FRF,PTH,621500.0,70,66.61161041259766
Bench,"Couchman, Ryan",2RF,2RF,STG,389200.0,63,61.65711212158203
Flex,"Duffy, Tom",FLEX,HFB,BRO,235600.0,91,75.33330535888672
Reserve,"Tavana, Faaletino",CTW,CTW|FLB,WST,201400.0,46,43.030677795410156
Reserve,"Nanva, Araz",FLB,CTW|FLB,PAR,201400.0,44,42.92674255371094
Reserve,"Hosking, Blake",2RF,2RF,SHA,201400.0,0,38.657100677490234
Reserve,"Sutton, Liam",HFB,HFB|5/8,NQC,201400.0,0,32.1515007019043
Reserve,"Verhoeven, Antonio",CTW,CTW,BRO,201400.0,15,14.119221687316895
Reserve,"Tuimalatu-Brown, Siulagi",CTW,CTW,MEL,201400.0,9,11.12213134765625
Reserve,"Fineanganofo, John",5/8,5/8|HOK,DOL,201400.0,0,0.12337508052587509
Reserve,"Martin, Myles",2RF,FRF|2RF,CBR,201400.0,0,0.09235871583223343
